  0.735000008717E-03  0.291266274452E+01 -0.727865338326E+00
  0.105839997530E+00 -0.577049493790E+00  0.390517532825E+00
  0.106574997306E+00 -0.571863651276E+00  0.389120310545E+00
  0.107310004532E+00 -0.566689670086E+00  0.387710273266E+00
  0.108045004308E+00 -0.561527550220E+00  0.386287510395E+00
  0.108780004084E+00 -0.556377530098E+00  0.384852319956E+00
  0.109515003860E+00 -0.551239669323E+00  0.383404970169E+00
  0.110250003636E+00 -0.546114325523E+00  0.381945550442E+00
  0.110985003412E+00 -0.541001379490E+00  0.380474418402E+00
  0.111720003188E+00 -0.535901129246E+00  0.378991603851E+00
  0.112455002964E+00 -0.530813753605E+00  0.377497404814E+00
  0.113190002739E+00 -0.525739371777E+00  0.375992119312E+00
  0.113925002515E+00 -0.520678102970E+00  0.374475896358E+00
  0.114660002291E+00 -0.515630006790E+00  0.372948795557E+00
  0.115395002067E+00 -0.510595321655E+00  0.371411234140E+00
  0.116130001843E+00 -0.505574166775E+00  0.369863301516E+00
  0.116865001619E+00 -0.500566720963E+00  0.368305236101E+00
  0.117600001395E+00 -0.495573103428E+00  0.366737216711E+00
  0.118335001171E+00 -0.490593403578E+00  0.365159511566E+00
  0.119070000947E+00 -0.485627770424E+00  0.363572180271E+00
  0.119805000722E+00 -0.480676412582E+00  0.361975520849E+00
  0.120540000498E+00 -0.475739389658E+00  0.360369741917E+00
  0.121275000274E+00 -0.470816731453E+00  0.358754992485E+00
  0.122010000050E+00 -0.465908795595E+00  0.357131540775E+00
  0.122744999826E+00 -0.461015522480E+00  0.355499476194E+00
  0.123479999602E+00 -0.456137150526E+00  0.353859066963E+00
  0.124214999378E+00 -0.451273649931E+00  0.352210491896E+00
  0.124949999154E+00 -0.446425318718E+00  0.350553900003E+00
  0.125685006380E+00 -0.441592156887E+00  0.348889529705E+00
  0.126420006156E+00 -0.436774432659E+00  0.347217559814E+00
  0.127155005932E+00 -0.431972056627E+00  0.345538228750E+00
  0.127890005708E+00 -0.427185237408E+00  0.343851625919E+00
  0.128625005484E+00 -0.422414243221E+00  0.342157959938E+00
  0.129360005260E+00 -0.417658895254E+00  0.340457469225E+00
  0.130095005035E+00 -0.412919521332E+00  0.338750302792E+00
  0.130830004811E+00 -0.408196091652E+00  0.337036639452E+00
  0.131565004587E+00 -0.403488844633E+00  0.335316628218E+00
  0.132300004363E+00 -0.398797810078E+00  0.333590537310E+00
  0.133035004139E+00 -0.394123107195E+00  0.331858485937E+00
  0.133770003915E+00 -0.389464795589E+00  0.330120712519E+00
  0.134505003691E+00 -0.384823024273E+00  0.328377276659E+00
  0.135240003467E+00 -0.380197942257E+00  0.326628476381E+00
  0.135975003242E+00 -0.375589460135E+00  0.324874371290E+00
  0.136710003018E+00 -0.370997875929E+00  0.323115319014E+00
  0.137445002794E+00 -0.366423189640E+00  0.321351319551E+00
  0.138180002570E+00 -0.361865490675E+00  0.319582581520E+00
