  0.735000008717E-03  0.291266274452E+01 -0.727865338326E+00
  0.323400020599E+00  0.218308702111E+00 -0.311845764518E-01
  0.324135005474E+00  0.218629509211E+00 -0.319292284548E-01
  0.324870020151E+00  0.218937247992E+00 -0.326693058014E-01
  0.325605005026E+00  0.219232067466E+00 -0.334048159420E-01
  0.326340019703E+00  0.219513908029E+00 -0.341357477009E-01
  0.327075004578E+00  0.219782814384E+00 -0.348621159792E-01
  0.327810019255E+00  0.220038846135E+00 -0.355839207768E-01
  0.328545004129E+00  0.220281988382E+00 -0.363011509180E-01
  0.329280018806E+00  0.220512360334E+00 -0.370138250291E-01
  0.330015033484E+00  0.220729917288E+00 -0.377219393849E-01
  0.330750018358E+00  0.220934703946E+00 -0.384254865348E-01
  0.331485033035E+00  0.221126765013E+00 -0.391244702041E-01
  0.332220017910E+00  0.221306160092E+00 -0.398188941181E-01
  0.332955032587E+00  0.221472889185E+00 -0.405087620020E-01
  0.333690017462E+00  0.221626982093E+00 -0.411940589547E-01
  0.334425032139E+00  0.221768513322E+00 -0.418747924268E-01
  0.335160017014E+00  0.221897438169E+00 -0.425509586930E-01
  0.335895031691E+00  0.222013875842E+00 -0.432225503027E-01
  0.336630016565E+00  0.222117841244E+00 -0.438895821571E-01
  0.337365031242E+00  0.222209334373E+00 -0.445520356297E-01
  0.338100016117E+00  0.222288444638E+00 -0.452099032700E-01
  0.338835030794E+00  0.222355142236E+00 -0.458631962538E-01
  0.339570015669E+00  0.222409531474E+00 -0.465118996799E-01
  0.340305030346E+00  0.222451642156E+00 -0.471560172737E-01
  0.341040015221E+00  0.222481444478E+00 -0.477955415845E-01
  0.341775029898E+00  0.222499072552E+00 -0.484304688871E-01
  0.342510014772E+00  0.222504466772E+00 -0.490607842803E-01
  0.343245029449E+00  0.222497776151E+00 -0.496864989400E-01
  0.343980014324E+00  0.222478911281E+00 -0.503075905144E-01
  0.344715029001E+00  0.222448006272E+00 -0.509240664542E-01
  0.345450013876E+00  0.222405090928E+00 -0.515359118581E-01
  0.346185028553E+00  0.222350195050E+00 -0.521431192756E-01
  0.346920013428E+00  0.222283348441E+00 -0.527456887066E-01
  0.347655028105E+00  0.222204595804E+00 -0.533436089754E-01
  0.348390012980E+00  0.222113937140E+00 -0.539368726313E-01
  0.349125027657E+00  0.222011551261E+00 -0.545254647732E-01
  0.349860012531E+00  0.221897318959E+00 -0.551093891263E-01
  0.350595027208E+00  0.221771404147E+00 -0.556886419654E-01
  0.351330012083E+00  0.221633777022E+00 -0.562631972134E-01
  0.352065026760E+00  0.221484526992E+00 -0.568330623209E-01
  0.352800011635E+00  0.221323668957E+00 -0.573982074857E-01
  0.353535026312E+00  0.221151277423E+00 -0.579586438835E-01
  0.354270011187E+00  0.220967367291E+00 -0.585143528879E-01
  0.355005025864E+00  0.220771983266E+00 -0.590653270483E-01
  0.355740010738E+00  0.220565199852E+00 -0.596115477383E-01
  0.356475025415E+00  0.220347046852E+00 -0.601530335844E-01
  0.357210010290E+00  0.220117613673E+00 -0.606897436082E-01
  0.357945024967E+00  0.219876885414E+00 -0.612216629088E-01
  0.358680009842E+00  0.219624966383E+00 -0.617488175631E-01
  0.359415024519E+00  0.219361841679E+00 -0.622711665928E-01
  0.360150009394E+00  0.219087615609E+00 -0.627887099981E-01
  0.360885024071E+00  0.218802317977E+00 -0.633014291525E-01
  0.361620008945E+00  0.218506038189E+00 -0.638093203306E-01
  0.362355023623E+00  0.218198746443E+00 -0.643123760819E-01
  0.363090008497E+00  0.217880576849E+00 -0.648105740547E-01
  0.363825023174E+00  0.217551544309E+00 -0.653039067984E-01
  0.364560008049E+00  0.217211693525E+00 -0.657923817635E-01
  0.365295022726E+00  0.216861128807E+00 -0.662759393454E-01
  0.366030007601E+00  0.216499805450E+00 -0.667546242476E-01
  0.366765022278E+00  0.216127902269E+00 -0.672283843160E-01
  0.367500007153E+00  0.215745344758E+00 -0.676972419024E-01
