       N2_  0.127663260707E+05  0.700335000000E+01
   263   -->   262    0.1383360059E+04
   264   -->   263    0.6170734989E+03
   265   -->   264    0.1421356694E+04
   266   -->   265    0.5948698100E+03
   267   -->   266    0.1459245593E+04
   268   -->   267    0.5730676940E+03
   269   -->   268    0.1496776440E+04
   270   -->   269    0.5518734352E+03
   271   -->   270    0.1533738036E+04
   272   -->   271    0.5314498340E+03
   273   -->   272    0.1569962566E+04
   274   -->   273    0.5119159847E+03
   275   -->   274    0.1605325987E+04
   276   -->   275    0.4933500867E+03
   277   -->   276    0.1639745340E+04
   278   -->   277    0.4757942652E+03
   279   -->   278    0.1673173984E+04
   280   -->   279    0.4592604875E+03
   281   -->   280    0.1705595679E+04
   282   -->   281    0.4437369373E+03
   283   -->   282    0.1737018329E+04
   284   -->   283    0.4291939892E+03
   285   -->   284    0.1767468068E+04
   286   -->   285    0.4155894673E+03
   287   -->   286    0.1796983919E+04
   288   -->   287    0.4028731265E+03
   289   -->   288    0.1825613296E+04
   290   -->   289    0.3909904171E+03
   291   -->   290    0.1853408294E+04
   292   -->   291    0.3798853941E+03
   293   -->   292    0.1880422930E+04
   294   -->   293    0.3695024622E+03
   295   -->   294    0.1906711259E+04
   296   -->   295    0.3597876136E+03
   297   -->   296    0.1932325997E+04
   298   -->   297    0.3506894759E+03
   299   -->   298    0.1957317598E+04
   300   -->   299    0.3421596270E+03
   301   -->   300    0.1981733767E+04
   302   -->   301    0.3341528704E+03
   303   -->   302    0.2005619095E+04
   304   -->   303    0.3266275288E+03
   305   -->   304    0.2029014933E+04
   306   -->   305    0.3195451699E+03
   307   -->   306    0.2051959455E+04
   308   -->   307    0.3128705810E+03
   309   -->   308    0.2074487725E+04
   310   -->   309    0.3065716235E+03
   311   -->   310    0.2096631811E+04
   312   -->   311    0.3006190205E+03
   313   -->   312    0.2118420983E+04
   314   -->   313    0.2949862129E+03
   315   -->   314    0.2139881937E+04
   316   -->   315    0.2896489365E+03
   317   -->   316    0.2161039017E+04
   318   -->   317    0.2845851979E+03
   319   -->   318    0.2181914374E+04
   320   -->   319    0.2797750183E+03
   321   -->   320    0.2202528197E+04
   322   -->   321    0.2752001938E+03
   323   -->   322    0.2222898969E+04
   324   -->   323    0.2708439862E+03
   325   -->   324    0.2243043619E+04
   326   -->   325    0.2666911383E+03
   327   -->   326    0.2262977612E+04
   328   -->   327    0.2627277466E+03
   329   -->   328    0.2282715099E+04
   330   -->   329    0.2589410518E+03
   331   -->   330    0.2302269064E+04
   332   -->   331    0.2553193488E+03
   333   -->   332    0.2321651360E+04
   334   -->   333    0.2518520475E+03
   335   -->   334    0.2340872774E+04
   336   -->   335    0.2485295100E+03
   337   -->   336    0.2359943180E+04
   338   -->   337    0.2453428739E+03
   339   -->   338    0.2378871643E+04
   340   -->   339    0.2422840151E+03
   341   -->   340    0.2397666472E+04
   342   -->   341    0.2393455150E+03
   343   -->   342    0.2416335283E+04
   344   -->   343    0.2365205713E+03
   345   -->   344    0.2434885076E+04
   346   -->   345    0.2338029210E+03
   347   -->   346    0.2453322302E+04
   348   -->   347    0.2311868057E+03
   349   -->   348    0.2471652917E+04
   350   -->   349    0.2286668929E+03
   351   -->   350    0.2489882465E+04
   352   -->   351    0.2262381894E+03
   353   -->   352    0.2508016119E+04
   354   -->   353    0.2238960519E+03
   355   -->   354    0.2526058703E+04
   356   -->   355    0.2216361347E+03
   357   -->   356    0.2544014747E+04
   358   -->   357    0.2194543415E+03
   359   -->   358    0.2561888514E+04
   360   -->   359    0.2173468162E+03
   361   -->   360    0.2579683991E+04
   362   -->   361    0.2153099657E+03
   363   -->   362    0.2597404873E+04
   364   -->   363    0.2133405046E+03
   365   -->   364    0.2615054558E+04
   366   -->   365    0.2114354208E+03
   367   -->   366    0.2632636224E+04
   368   -->   367    0.2095918293E+03
   369   -->   368    0.2650152874E+04
   370   -->   369    0.2078070318E+03
   371   -->   370    0.2667607315E+04
   372   -->   371    0.2060785242E+03
   373   -->   372    0.2685002201E+04
   374   -->   373    0.2044038830E+03
   375   -->   374    0.2702340043E+04
   376   -->   375    0.2027808635E+03
   377   -->   376    0.2719623184E+04
   378   -->   377    0.2012073738E+03
   379   -->   378    0.2736853844E+04
   380   -->   379    0.1996813856E+03
   381   -->   380    0.2754034134E+04
   382   -->   381    0.1982010072E+03
   383   -->   382    0.2771166058E+04
   384   -->   383    0.1967644117E+03
   385   -->   384    0.2788251498E+04
   386   -->   385    0.1953699307E+03
   387   -->   386    0.2805292220E+04
   388   -->   387    0.1940159680E+03
   389   -->   388    0.2822289897E+04
   390   -->   389    0.1927010151E+03
   391   -->   390    0.2839246100E+04
   392   -->   391    0.1914236754E+03
   393   -->   392    0.2856162272E+04
   394   -->   393    0.1901826860E+03
   395   -->   394    0.2873039765E+04
   396   -->   395    0.1889768338E+03
   397   -->   396    0.2889879868E+04
   398   -->   397    0.1878049532E+03
   399   -->   398    0.2906683804E+04
   400   -->   399    0.1866659608E+03
   401   -->   400    0.2923452728E+04
   402   -->   401    0.1855588253E+03
   403   -->   402    0.2940187763E+04
   404   -->   403    0.1844825101E+03
   405   -->   404    0.2956890002E+04
   406   -->   405    0.1834360262E+03
   407   -->   406    0.2973560478E+04
   408   -->   407    0.1824184596E+03
   409   -->   408    0.2990200166E+04
   410   -->   409    0.1814289355E+03
   411   -->   410    0.3006810005E+04
   412   -->   411    0.1804665975E+03
   413   -->   412    0.3023390916E+04
   414   -->   413    0.1795305991E+03
   415   -->   414    0.3039943788E+04
   416   -->   415    0.1786201416E+03
   417   -->   416    0.3056469468E+04
   418   -->   417    0.1777344591E+03
   419   -->   418    0.3072968764E+04
   420   -->   419    0.1768728246E+03
   421   -->   420    0.3089442432E+04
   422   -->   421    0.1760345740E+03
   423   -->   422    0.3105891180E+04
   424   -->   423    0.1752190693E+03
   425   -->   424    0.3122315684E+04
   426   -->   425    0.1744257079E+03
   427   -->   426    0.3138716574E+04
   428   -->   427    0.1736539410E+03
   429   -->   428    0.3155094440E+04
   430   -->   429    0.1729032467E+03
   431   -->   430    0.3171449861E+04
   432   -->   431    0.1721730855E+03
   433   -->   432    0.3187783423E+04
   434   -->   433    0.1714629213E+03
   435   -->   434    0.3204095697E+04
   436   -->   435    0.1707722333E+03
   437   -->   436    0.3220387228E+04
   438   -->   437    0.1701005403E+03
   439   -->   438    0.3236658526E+04
   440   -->   439    0.1694473852E+03
   441   -->   440    0.3252910084E+04
   442   -->   441    0.1688123239E+03
   443   -->   442    0.3269142361E+04
   444   -->   443    0.1681949590E+03
   445   -->   444    0.3285355799E+04
   446   -->   445    0.1675948837E+03
   447   -->   446    0.3301550840E+04
   448   -->   447    0.1670116886E+03
   449   -->   448    0.3317727896E+04
   450   -->   449    0.1664450300E+03
   451   -->   450    0.3333887344E+04
   452   -->   451    0.1658945663E+03
   453   -->   452    0.3350029541E+04
   454   -->   453    0.1653599931E+03
   455   -->   454    0.3366154824E+04
   456   -->   455    0.1648410043E+03
   457   -->   456    0.3382263521E+04
   458   -->   457    0.1643373129E+03
   459   -->   458    0.3398355943E+04
   460   -->   459    0.1638486458E+03
   461   -->   460    0.3414432391E+04
   462   -->   461    0.1633747310E+03
   463   -->   462    0.3430493176E+04
   464   -->   463    0.1629152745E+03
   465   -->   464    0.3446538611E+04
   466   -->   465    0.1624699976E+03
   467   -->   466    0.3462568997E+04
   468   -->   467    0.1620386274E+03
   469   -->   468    0.3478584639E+04
   470   -->   469    0.1616208739E+03
   471   -->   470    0.3494585830E+04
   472   -->   471    0.1612164870E+03
   473   -->   472    0.3510572821E+04
   474   -->   473    0.1608252641E+03
   475   -->   474    0.3526545852E+04
   476   -->   475    0.1604469762E+03
   477   -->   476    0.3542505175E+04
   478   -->   477    0.1600813919E+03
   479   -->   478    0.3558451029E+04
   480   -->   479    0.1597283030E+03
   481   -->   480    0.3574383642E+04
   482   -->   481    0.1593875036E+03
   483   -->   482    0.3590303216E+04
   484   -->   483    0.1590588368E+03
   485   -->   484    0.3606209929E+04
   486   -->   485    0.1587421448E+03
   487   -->   486    0.3622103952E+04
   488   -->   487    0.1584372828E+03
   489   -->   488    0.3637985454E+04
   490   -->   489    0.1581440949E+03
   491   -->   490    0.3653854608E+04
   492   -->   491    0.1578624258E+03
   493   -->   492    0.3669711581E+04
   494   -->   493    0.1575921342E+03
   495   -->   494    0.3685556535E+04
   496   -->   495    0.1573330691E+03
   497   -->   496    0.3701389652E+04
   498   -->   497    0.1570850505E+03
   499   -->   498    0.3717211119E+04
   500   -->   499    0.1568479112E+03
   501   -->   500    0.3733021093E+04
   502   -->   501    0.1566215350E+03
   503   -->   502    0.3748819702E+04
   504   -->   503    0.1564058156E+03
   505   -->   504    0.3764607079E+04
   506   -->   505    0.1562006205E+03
   507   -->   506    0.3780383360E+04
   508   -->   507    0.1560058395E+03
   509   -->   508    0.3796148655E+04
   510   -->   509    0.1558213904E+03
   511   -->   510    0.3811903073E+04
   512   -->   511    0.1556471661E+03
   513   -->   512    0.3827646743E+04
   514   -->   513    0.1554830380E+03
   515   -->   514    0.3843379776E+04
   516   -->   515    0.1553289367E+03
   517   -->   516    0.3859102243E+04
   518   -->   517    0.1551848185E+03
   519   -->   518    0.3874814216E+04
   520   -->   519    0.1550506081E+03
   521   -->   520    0.3890515784E+04
   522   -->   521    0.1549262287E+03
   523   -->   522    0.3906207032E+04
   524   -->   523    0.1548116061E+03
   525   -->   524    0.3921888048E+04
   526   -->   525    0.1547066636E+03
   527   -->   526    0.3937558928E+04
   528   -->   527    0.1546113040E+03
   529   -->   528    0.3953219777E+04
   530   -->   529    0.1545254377E+03
   531   -->   530    0.3968870688E+04
   532   -->   531    0.1544489825E+03
   533   -->   532    0.3984511757E+04
   534   -->   533    0.1543818523E+03
   535   -->   534    0.4000143068E+04
   536   -->   535    0.1543239794E+03
   537   -->   536    0.4015764676E+04
   538   -->   537    0.1542753424E+03
   539   -->   538    0.4031376594E+04
   540   -->   539    0.1542359570E+03
   541   -->   540    0.4046978849E+04
   542   -->   541    0.1542057789E+03
   543   -->   542    0.4062571510E+04
   544   -->   543    0.1541847225E+03
   545   -->   544    0.4078154629E+04
   546   -->   545    0.1541727883E+03
   547   -->   546    0.4093728218E+04
   548   -->   547    0.1541699694E+03
   549   -->   548    0.4109292298E+04
   550   -->   549    0.1541762494E+03
   551   -->   550    0.4124846874E+04
   552   -->   551    0.1541916498E+03
   553   -->   552    0.4140391968E+04
   554   -->   553    0.1542161255E+03
   555   -->   554    0.4155927619E+04
   556   -->   555    0.1542496558E+03
   557   -->   556    0.4171453875E+04
   558   -->   557    0.1542921768E+03
   559   -->   558    0.4186970782E+04
   560   -->   559    0.1543436738E+03
   561   -->   560    0.4202478366E+04
   562   -->   561    0.1544041265E+03
   563   -->   562    0.4217976668E+04
   564   -->   563    0.1544734842E+03
   565   -->   564    0.4233465737E+04
   566   -->   565    0.1545517092E+03
   567   -->   566    0.4248945569E+04
   568   -->   567    0.1546388617E+03
   569   -->   568    0.4264416125E+04
   570   -->   569    0.1547349805E+03
   571   -->   570    0.4279877413E+04
   572   -->   571    0.1548400191E+03
   573   -->   572    0.4295329467E+04
   574   -->   573    0.1549539632E+03
   575   -->   574    0.4310772265E+04
   576   -->   575    0.1550768838E+03
   577   -->   576    0.4326205775E+04
   578   -->   577    0.1552087948E+03
   579   -->   578    0.4341630012E+04
   580   -->   579    0.1553496574E+03
   581   -->   580    0.4357044971E+04
   582   -->   581    0.1554995252E+03
   583   -->   582    0.4372450577E+04
   584   -->   583    0.1556585130E+03
   585   -->   584    0.4387846779E+04
   586   -->   585    0.1558266260E+03
   587   -->   586    0.4403233583E+04
   588   -->   587    0.1560038531E+03
   589   -->   588    0.4418610988E+04
   590   -->   589    0.1561902113E+03
   591   -->   590    0.4433978993E+04
   592   -->   591    0.1563856998E+03
   593   -->   592    0.4449337604E+04
   594   -->   593    0.1565903144E+03
   595   -->   594    0.4464686815E+04
   596   -->   595    0.1568040769E+03
   597   -->   596    0.4480026599E+04
   598   -->   597    0.1570270268E+03
   599   -->   598    0.4495356914E+04
   600   -->   599    0.1572592235E+03
   601   -->   600    0.4510677694E+04
   602   -->   601    0.1575007432E+03
   603   -->   602    0.4525988848E+04
   604   -->   603    0.1577517053E+03
   605   -->   604    0.4541290239E+04
   606   -->   605    0.1580122776E+03
   607   -->   606    0.4556581771E+04
   608   -->   607    0.1582825007E+03
   609   -->   608    0.4571863454E+04
   610   -->   609    0.1585623070E+03
   611   -->   610    0.4587135265E+04
   612   -->   611    0.1588518148E+03
   613   -->   612    0.4602397061E+04
   614   -->   613    0.1591512116E+03
   615   -->   614    0.4617648750E+04
   616   -->   615    0.1594605036E+03
   617   -->   616    0.4632890280E+04
   618   -->   617    0.1597797908E+03
   619   -->   618    0.4648121592E+04
   620   -->   619    0.1601091017E+03
   621   -->   620    0.4663342668E+04
   622   -->   621    0.1604484455E+03
   623   -->   622    0.4678553487E+04
   624   -->   623    0.1607978600E+03
   625   -->   624    0.4693753996E+04
   626   -->   625    0.1611574169E+03
   627   -->   626    0.4708944102E+04
   628   -->   627    0.1615272422E+03
   629   -->   628    0.4724123722E+04
   630   -->   629    0.1619073832E+03
   631   -->   630    0.4739292796E+04
   632   -->   631    0.1622979120E+03
   633   -->   632    0.4754451186E+04
   634   -->   633    0.1626990411E+03
   635   -->   634    0.4769598702E+04
   636   -->   635    0.1631109551E+03
   637   -->   636    0.4784735258E+04
   638   -->   637    0.1635336488E+03
