  0.735000008717E-03 -0.151640534401E+01  0.397928774357E+00
  0.573300011456E-01  0.104579019547E+01 -0.493060529232E+00
  0.580650009215E-01  0.103954792023E+01 -0.493099093437E+00
  0.588000006974E-01  0.103330636024E+01 -0.493101388216E+00
  0.595350004733E-01  0.102706527710E+01 -0.493067890406E+00
  0.602700002491E-01  0.102082526684E+01 -0.492999047041E+00
  0.610050000250E-01  0.101458656788E+01 -0.492895364761E+00
  0.617399998009E-01  0.100834941864E+01 -0.492757201195E+00
  0.624749995768E-01  0.100211369991E+01 -0.492585033178E+00
  0.632100030780E-01  0.995879948139E+00 -0.492379397154E+00
  0.639450028539E-01  0.989648103714E+00 -0.492140799761E+00
  0.646800026298E-01  0.983418405056E+00 -0.491869449615E+00
  0.654150024056E-01  0.977191209793E+00 -0.491565942764E+00
  0.661500021815E-01  0.970966398716E+00 -0.491230666637E+00
  0.668850019574E-01  0.964744329453E+00 -0.490864008665E+00
  0.676200017333E-01  0.958525359631E+00 -0.490466415882E+00
  0.683550015092E-01  0.952309370041E+00 -0.490038275719E+00
  0.690900012851E-01  0.946096956730E+00 -0.489580035210E+00
  0.698250010610E-01  0.939887881279E+00 -0.489091992378E+00
  0.705600008368E-01  0.933682560921E+00 -0.488574624062E+00
  0.712950006127E-01  0.927481114864E+00 -0.488028258085E+00
  0.720300003886E-01  0.921283960342E+00 -0.487453281879E+00
  0.727650001645E-01  0.915090918541E+00 -0.486850112677E+00
  0.734999999404E-01  0.908902466297E+00 -0.486219137907E+00
  0.742349997163E-01  0.902718722820E+00 -0.485560595989E+00
  0.749699994922E-01  0.896539807320E+00 -0.484875023365E+00
  0.757049992681E-01  0.890366137028E+00 -0.484162598848E+00
  0.764399990439E-01  0.884197652340E+00 -0.483423709869E+00
  0.771749988198E-01  0.878034532070E+00 -0.482658892870E+00
  0.779099985957E-01  0.871877133846E+00 -0.481868237257E+00
  0.786449983716E-01  0.865725696087E+00 -0.481052249670E+00
