       N2_  0.127663260707E+05  0.700335000000E+01
   401   -->   400    0.1592578449E+04
   402   -->   401    0.2340719483E+03
   403   -->   402    0.1604784852E+04
   404   -->   403    0.2312340886E+03
   405   -->   404    0.1616867615E+04
   406   -->   405    0.2285106645E+03
   407   -->   406    0.1628833594E+04
   408   -->   407    0.2258953848E+03
   409   -->   408    0.1640689141E+04
   410   -->   409    0.2233823824E+03
   411   -->   410    0.1652440189E+04
   412   -->   411    0.2209661538E+03
   413   -->   412    0.1664092289E+04
   414   -->   413    0.2186415610E+03
   415   -->   414    0.1675650601E+04
   416   -->   415    0.2164038614E+03
   417   -->   416    0.1687119899E+04
   418   -->   417    0.2142486932E+03
   419   -->   418    0.1698504636E+04
   420   -->   419    0.2121719274E+03
   421   -->   420    0.1709808999E+04
   422   -->   421    0.2101696772E+03
   423   -->   422    0.1721036885E+04
   424   -->   423    0.2082383988E+03
   425   -->   424    0.1732191908E+04
   426   -->   425    0.2063747683E+03
   427   -->   426    0.1743277477E+04
   428   -->   427    0.2045756094E+03
   429   -->   428    0.1754296799E+04
   430   -->   429    0.2028379785E+03
   431   -->   430    0.1765252879E+04
   432   -->   431    0.2011591073E+03
   433   -->   432    0.1776148557E+04
   434   -->   433    0.1995363490E+03
   435   -->   434    0.1786986525E+04
   436   -->   435    0.1979672115E+03
   437   -->   436    0.1797769311E+04
   438   -->   437    0.1964493733E+03
   439   -->   438    0.1808499281E+04
   440   -->   439    0.1949806516E+03
   441   -->   440    0.1819178675E+04
   442   -->   441    0.1935589663E+03
   443   -->   442    0.1829809623E+04
   444   -->   443    0.1921823352E+03
   445   -->   444    0.1840394130E+04
   446   -->   445    0.1908489108E+03
   447   -->   446    0.1850934053E+04
   448   -->   447    0.1895570154E+03
   449   -->   448    0.1861431106E+04
   450   -->   449    0.1883050887E+03
   451   -->   450    0.1871886929E+04
   452   -->   451    0.1870915835E+03
   453   -->   452    0.1882303112E+04
   454   -->   453    0.1859150070E+03
   455   -->   454    0.1892681138E+04
   456   -->   455    0.1847740278E+03
   457   -->   456    0.1903022366E+04
   458   -->   457    0.1836674174E+03
   459   -->   458    0.1913328081E+04
   460   -->   459    0.1825939748E+03
   461   -->   460    0.1923599517E+04
   462   -->   461    0.1815525537E+03
   463   -->   462    0.1933837835E+04
   464   -->   463    0.1805421051E+03
   465   -->   464    0.1944044114E+04
   466   -->   465    0.1795616433E+03
   467   -->   466    0.1954219377E+04
   468   -->   467    0.1786102250E+03
   469   -->   468    0.1964364629E+04
   470   -->   469    0.1776868880E+03
   471   -->   470    0.1974480839E+04
   472   -->   471    0.1767907499E+03
   473   -->   472    0.1984568901E+04
   474   -->   473    0.1759210086E+03
   475   -->   474    0.1994629682E+04
   476   -->   475    0.1750768287E+03
   477   -->   476    0.2004664046E+04
   478   -->   477    0.1742573929E+03
   479   -->   478    0.2014672800E+04
   480   -->   479    0.1734619868E+03
   481   -->   480    0.2024656699E+04
   482   -->   481    0.1726899009E+03
   483   -->   482    0.2034616487E+04
   484   -->   483    0.1719404241E+03
   485   -->   484    0.2044552849E+04
   486   -->   485    0.1712129642E+03
   487   -->   486    0.2054466383E+04
   488   -->   487    0.1705070070E+03
   489   -->   488    0.2064357678E+04
   490   -->   489    0.1698219679E+03
   491   -->   490    0.2074227354E+04
   492   -->   491    0.1691572382E+03
   493   -->   492    0.2084075994E+04
   494   -->   493    0.1685123157E+03
   495   -->   494    0.2093904105E+04
   496   -->   495    0.1678867606E+03
   497   -->   496    0.2103712177E+04
   498   -->   497    0.1672800980E+03
   499   -->   498    0.2113500714E+04
   500   -->   499    0.1666918432E+03
   501   -->   500    0.2123270206E+04
   502   -->   501    0.1661215456E+03
   503   -->   502    0.2133021103E+04
   504   -->   503    0.1655688093E+03
   505   -->   504    0.2142753812E+04
   506   -->   505    0.1650332725E+03
   507   -->   506    0.2152468741E+04
   508   -->   507    0.1645145320E+03
   509   -->   508    0.2162166306E+04
   510   -->   509    0.1640121935E+03
   511   -->   510    0.2171846898E+04
   512   -->   511    0.1635259156E+03
   513   -->   512    0.2181510889E+04
   514   -->   513    0.1630553441E+03
   515   -->   514    0.2191158656E+04
   516   -->   515    0.1626001090E+03
   517   -->   516    0.2200790561E+04
   518   -->   517    0.1621598951E+03
   519   -->   518    0.2210406941E+04
   520   -->   519    0.1617343814E+03
   521   -->   520    0.2220008126E+04
   522   -->   521    0.1613232653E+03
   523   -->   522    0.2229594422E+04
   524   -->   523    0.1609262681E+03
   525   -->   524    0.2239166119E+04
   526   -->   525    0.1605431229E+03
   527   -->   526    0.2248723489E+04
   528   -->   527    0.1601735853E+03
   529   -->   528    0.2258266777E+04
   530   -->   529    0.1598174442E+03
   531   -->   530    0.2267796218E+04
   532   -->   531    0.1594744700E+03
   533   -->   532    0.2277312043E+04
   534   -->   533    0.1591444587E+03
   535   -->   534    0.2286814440E+04
   536   -->   535    0.1588272723E+03
   537   -->   536    0.2296303584E+04
   538   -->   537    0.1585227378E+03
   539   -->   538    0.2305779718E+04
   540   -->   539    0.1582305635E+03
   541   -->   540    0.2315243104E+04
   542   -->   541    0.1579505176E+03
   543   -->   542    0.2324693914E+04
   544   -->   543    0.1576825227E+03
   545   -->   544    0.2334132266E+04
   546   -->   545    0.1574264645E+03
   547   -->   546    0.2343558338E+04
   548   -->   547    0.1571821189E+03
   549   -->   548    0.2352972341E+04
   550   -->   549    0.1569492985E+03
   551   -->   550    0.2362374444E+04
   552   -->   551    0.1567278776E+03
   553   -->   552    0.2371764790E+04
   554   -->   553    0.1565177218E+03
   555   -->   554    0.2381143547E+04
   556   -->   555    0.1563186540E+03
   557   -->   556    0.2390510913E+04
   558   -->   557    0.1561304583E+03
   559   -->   558    0.2399867059E+04
   560   -->   559    0.1559530243E+03
   561   -->   560    0.2409212083E+04
   562   -->   561    0.1557862996E+03
   563   -->   562    0.2418546105E+04
   564   -->   563    0.1556301174E+03
   565   -->   564    0.2427869285E+04
   566   -->   565    0.1554843229E+03
   567   -->   566    0.2437181729E+04
   568   -->   567    0.1553488833E+03
   569   -->   568    0.2446483501E+04
   570   -->   569    0.1552237295E+03
   571   -->   570    0.2455774693E+04
   572   -->   571    0.1551087556E+03
   573   -->   572    0.2465055384E+04
   574   -->   573    0.1550039285E+03
   575   -->   574    0.2474325625E+04
   576   -->   575    0.1549092042E+03
   577   -->   576    0.2483585518E+04
   578   -->   577    0.1548244346E+03
   579   -->   578    0.2492835199E+04
   580   -->   579    0.1547494943E+03
   581   -->   580    0.2502074742E+04
   582   -->   581    0.1546843756E+03
   583   -->   582    0.2511304169E+04
   584   -->   583    0.1546290684E+03
   585   -->   584    0.2520523541E+04
   586   -->   585    0.1545834791E+03
   587   -->   586    0.2529732955E+04
   588   -->   587    0.1545475081E+03
   589   -->   588    0.2538932490E+04
   590   -->   589    0.1545211032E+03
   591   -->   590    0.2548122181E+04
   592   -->   591    0.1545042655E+03
   593   -->   592    0.2557302042E+04
   594   -->   593    0.1544969884E+03
   595   -->   594    0.2566472130E+04
   596   -->   595    0.1544991750E+03
   597   -->   596    0.2575632550E+04
   598   -->   597    0.1545107137E+03
   599   -->   598    0.2584783376E+04
   600   -->   599    0.1545315711E+03
   601   -->   600    0.2593924660E+04
   602   -->   601    0.1545616952E+03
   603   -->   602    0.2603056455E+04
   604   -->   603    0.1546010371E+03
   605   -->   604    0.2612178792E+04
   606   -->   605    0.1546495940E+03
   607   -->   606    0.2621291688E+04
   608   -->   607    0.1547073452E+03
   609   -->   608    0.2630395159E+04
   610   -->   609    0.1547742901E+03
   611   -->   610    0.2639489212E+04
   612   -->   611    0.1548504256E+03
   613   -->   612    0.2648573836E+04
   614   -->   613    0.1549357838E+03
   615   -->   614    0.2657649000E+04
   616   -->   615    0.1550304073E+03
   617   -->   616    0.2666714665E+04
   618   -->   617    0.1551343498E+03
   619   -->   618    0.2675770829E+04
   620   -->   619    0.1552475689E+03
   621   -->   620    0.2684817506E+04
   622   -->   621    0.1553700744E+03
   623   -->   622    0.2693854671E+04
   624   -->   623    0.1555019281E+03
   625   -->   624    0.2702882337E+04
   626   -->   625    0.1556430612E+03
   627   -->   626    0.2711900624E+04
   628   -->   627    0.1557932764E+03
   629   -->   628    0.2720909591E+04
   630   -->   629    0.1559526410E+03
   631   -->   630    0.2729909093E+04
   632   -->   631    0.1561214238E+03
   633   -->   632    0.2738899019E+04
   634   -->   633    0.1562996111E+03
   635   -->   634    0.2747879461E+04
   636   -->   635    0.1564870072E+03
   637   -->   636    0.2756850504E+04
   638   -->   637    0.1566836223E+03
   639   -->   638    0.2765812103E+04
   640   -->   639    0.1568895640E+03
   641   -->   640    0.2774764197E+04
   642   -->   641    0.1571048593E+03
   643   -->   642    0.2783706812E+04
   644   -->   643    0.1573294286E+03
   645   -->   644    0.2792639995E+04
   646   -->   645    0.1575632398E+03
   647   -->   646    0.2801563651E+04
   648   -->   647    0.1578065280E+03
   649   -->   648    0.2810477604E+04
   650   -->   649    0.1580594553E+03
   651   -->   650    0.2819381831E+04
   652   -->   651    0.1583218969E+03
   653   -->   652    0.2828276350E+04
   654   -->   653    0.1585939127E+03
   655   -->   654    0.2837161023E+04
   656   -->   655    0.1588757532E+03
   657   -->   656    0.2846035705E+04
   658   -->   657    0.1591674766E+03
   659   -->   658    0.2854900355E+04
   660   -->   659    0.1594690965E+03
   661   -->   660    0.2863754901E+04
   662   -->   661    0.1597807496E+03
   663   -->   662    0.2872599264E+04
   664   -->   663    0.1601024758E+03
   665   -->   664    0.2881433451E+04
   666   -->   665    0.1604342068E+03
   667   -->   666    0.2890257440E+04
   668   -->   667    0.1607760428E+03
   669   -->   668    0.2899071064E+04
   670   -->   669    0.1611282413E+03
   671   -->   670    0.2907874147E+04
   672   -->   671    0.1614909254E+03
   673   -->   672    0.2916666635E+04
   674   -->   673    0.1618640706E+03
   675   -->   674    0.2925448522E+04
   676   -->   675    0.1622477020E+03
   677   -->   676    0.2934219719E+04
   678   -->   677    0.1626419741E+03
   679   -->   678    0.2942980048E+04
   680   -->   679    0.1630471117E+03
   681   -->   680    0.2951729382E+04
   682   -->   681    0.1634631629E+03
   683   -->   682    0.2960467729E+04
   684   -->   683    0.1638900500E+03
   685   -->   684    0.2969195137E+04
   686   -->   685    0.1643277267E+03
   687   -->   686    0.2977911526E+04
   688   -->   687    0.1647764079E+03
   689   -->   688    0.2986616714E+04
   690   -->   689    0.1652362626E+03
   691   -->   690    0.2995310514E+04
   692   -->   691    0.1657074989E+03
   693   -->   692    0.3003992763E+04
   694   -->   693    0.1661902426E+03
   695   -->   694    0.3012663300E+04
   696   -->   695    0.1666846919E+03
   697   -->   696    0.3021321895E+04
   698   -->   697    0.1671911171E+03
   699   -->   698    0.3029968358E+04
   700   -->   699    0.1677096333E+03
   701   -->   700    0.3038602519E+04
   702   -->   701    0.1682404677E+03
   703   -->   702    0.3047224113E+04
   704   -->   703    0.1687839396E+03
   705   -->   704    0.3055832939E+04
   706   -->   705    0.1693401566E+03
   707   -->   706    0.3064428998E+04
   708   -->   707    0.1699089749E+03
   709   -->   708    0.3073012246E+04
   710   -->   709    0.1704906137E+03
   711   -->   710    0.3081582457E+04
   712   -->   711    0.1710853469E+03
   713   -->   712    0.3090139613E+04
