          17               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (9.02840090531138381E-004,2.17522627591111616E-003)
          18               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)      (-0.24172197132520681,-7.54843308190922824E-002)
          19               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)  (-2.62650200731771779E-003,2.30252776162834022E-003)
          20               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)  (-4.93187052840283330E-004,1.96360394435935587E-003)
          21               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)  (1.48308589518344092E-003,-1.90508347362497920E-003)
          22               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          23               (0.0000000000000000,0.0000000000000000)   (2.88631448858200426E-002,4.36332509001430210E-002)               (0.0000000000000000,0.0000000000000000)
          24  (-1.23341299077648729E-002,7.35145210569820434E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          25 (-2.98110700359863479E-002,-4.75806882780064541E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          26               (0.0000000000000000,0.0000000000000000)  (1.14599667759534354E-002,-7.33252950583309221E-002)               (0.0000000000000000,0.0000000000000000)
          27               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)           (-0.56447501226270858,-0.23217605924599588)
          28               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-5.61400176527499309E-003,-1.48731867617191496E-003)
          29               (0.0000000000000000,0.0000000000000000) (-1.29200167532831801E-002,-1.63077638937230499E-002)               (0.0000000000000000,0.0000000000000000)
          30               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (1.38381924252574222E-003,1.55891440249623014E-003)
          31               (0.0000000000000000,0.0000000000000000)  (-1.29165920108183212E-002,2.05921691631391277E-002)               (0.0000000000000000,0.0000000000000000)
