         257   (7.27450901356068011E-013,2.49171061193654313E-013)  (6.41268216325475678E-015,-9.72660143335739831E-014)  (5.48741634400039727E-005,-4.71053744656395782E-005)
         258   (1.30683450257750706E-018,8.70433294377967021E-019)  (1.76163642274666842E-003,-2.24851482586422679E-004)  (4.02568444807324451E-014,-5.11845252314300143E-015)
         259  (-2.82558859879596337E-013,4.67024410597730449E-013)  (1.11905833221781518E-012,-1.15203026531997467E-012)  (-8.13757851239961028E-005,8.15687810449347713E-005)
         260 (-6.83475758267898162E-005,-6.58690446656213694E-005)  (-3.06472154370973915E-018,4.79314808703907834E-019)   (9.65308064954794703E-014,1.12013091133018356E-014)
         261               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         262 (-2.61844330855491071E-004,-8.54399361140586447E-005)  (1.72175380159829592E-017,-5.61628947828868632E-018)  (5.34521758187639543E-014,-3.49629022639348585E-014)
         263 (-2.35463178499625076E-013,-6.41180326753542307E-014) (-2.04531841352037399E-013,-2.60288004023249202E-014)   (9.14675535725656321E-005,1.57924477151350232E-005)
         264  (-6.37998126861081139E-003,6.34689883444877821E-004) (-7.92465047814624246E-017,-5.32048975751043345E-017)  (-1.24135983398573850E-012,5.42920294376421435E-013)
         265               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         266  (-1.97368576729796221E-018,4.15366155247460989E-018) (-1.20731184338453878E-004,-7.64237555203753707E-004)   (2.57894569830594327E-013,4.71384321902554068E-013)
         267               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         268   (5.72378039336736081E-013,1.07774884665076899E-012)   (5.87509963430462136E-013,1.14130728294465029E-012)   (9.19152272693993916E-004,2.41331047172316368E-003)
         269               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         270  (-3.81657985100321235E-018,3.46355854086772078E-018) (-8.98111385746286524E-004,-2.87343747568660319E-005)  (-5.45576746574752054E-014,7.32155068171781631E-014)
         271  (3.76308758385727525E-005,-2.96207252047161413E-005) (-3.55511811547326588E-019,-1.86389471164576346E-018)  (-2.12086771142545874E-015,5.08015476875710651E-015)
         272 (-1.65716989796436991E-019,-3.32349608842058785E-018)  (-2.68654520183915155E-004,4.93653424533964364E-005)  (-1.17707668955640812E-014,2.42775223753683133E-014)
         273  (9.57500635303027007E-018,-8.16603131408572727E-018)  (1.54039286270941521E-003,-1.48491253647660198E-003)   (2.29129687141842867E-012,1.03316889891584713E-013)
         274   (4.51234037327311363E-014,1.66084063111794412E-014)   (2.44662155732632496E-014,1.69429851934425374E-014)   (1.58567194012213089E-004,1.09569261567801063E-004)
         275               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         276               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         277  (3.50451188486562918E-014,-2.01453140280281546E-014)  (4.40951376084852428E-015,-3.41966303325543013E-014)  (-6.66798078473524792E-004,7.61082873138198138E-005)
         278  (3.44978032046758706E-017,-1.16597543487013749E-017)   (1.61516343806926838E-002,7.97214793623537629E-003)  (9.39356432155940190E-013,-1.31367864201069493E-013)
         279  (2.52854705335114319E-018,-3.66845419972978697E-018) (-9.62569117348467944E-005,-7.72980821103707747E-004)  (-1.11524361954003874E-012,5.32281497428368164E-013)
         280   (2.34912233136968298E-004,3.43750392444964743E-004)   (7.06281779734483257E-019,5.14985528239083034E-018) (-1.59661898419638393E-014,-1.48884156665967151E-014)
         281 (-2.97472925680573201E-017,-4.25273125119958698E-017)   (7.85875215548735052E-003,2.01013083008247991E-003) (-5.65239907370458417E-012,-2.59319495231779422E-012)
         282               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         283               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         284  (2.94530840630369423E-012,-3.42902124117120787E-012)  (1.79343840309620404E-012,-2.00089256632895507E-012)  (2.24718525380046162E-004,-3.36297798579286407E-004)
         285               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         286               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         287   (5.49889987955353736E-015,1.51581436080831942E-014)   (3.54436982786141118E-015,1.17206451377412295E-014)   (5.90484682683145129E-005,4.61546628768153472E-005)
         288   (2.08143088608957459E-017,3.77762359417957503E-018) (-6.38345848715817258E-004,-2.23209751720761457E-003) (-6.66143544354871635E-013,-7.19962191560821018E-013)
         289  (5.94908957612978964E-018,-1.37427766438185579E-018)   (1.15842573913696109E-003,9.73054973162113717E-004)  (2.86768087239259540E-013,-1.26354053448644592E-013)
         290 (-1.21239476129653342E-002,-9.99657287430281982E-004)   (9.72088486513296883E-017,8.61095281528675164E-017)  (5.31600107762198683E-013,-4.07442422027846522E-014)
         291 (-3.00409796627937859E-018,-3.39995099103115377E-017) (-1.37667041867860357E-002,-4.27430162051593010E-002) (-5.89425994520547774E-013,-2.47519280419378397E-012)
         292  (1.37197792184165143E-018,-3.06449886848340776E-018)  (1.15896289093844786E-004,-9.93834210754626938E-004)  (-1.35499224700840807E-013,6.91000523064328423E-015)
         293               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
         294  (-3.86705272898897156E-004,3.51416341679770304E-005)  (-2.03595093463548453E-019,2.67926544819568766E-018) (-9.71705459895287743E-015,-2.22666907102847082E-015)
         295   (4.34825808139927641E-013,6.55811428589159119E-013)   (4.52567787861523007E-013,7.32321706266756596E-013)   (7.19571606685818132E-004,1.12269888076079423E-004)
         296   (2.27598449421023766E-002,6.66256577227488170E-003)  (3.46581517901592152E-016,-9.56821624119656758E-017)   (2.71171830656370271E-013,7.86764740553172594E-013)
         297  (-4.99477799929046846E-005,1.21387595873197699E-005)  (4.46406228220351344E-018,-1.20322067053914696E-017)  (1.35038691760715906E-015,-6.01754332392058363E-016)
