  0.735000008717E-03  0.285971313715E-01 -0.187041275203E-01
  0.111720003188E+00 -0.199520781636E+00  0.141101926565E+00
  0.112455002964E+00 -0.197626709938E+00  0.140545651317E+00
  0.113190002739E+00 -0.195737481117E+00  0.139985203743E+00
  0.113925002515E+00 -0.193853110075E+00  0.139420688152E+00
  0.114660002291E+00 -0.191973641515E+00  0.138852164149E+00
  0.115395002067E+00 -0.190099209547E+00  0.138279706240E+00
  0.116130001843E+00 -0.188229814172E+00  0.137703418732E+00
  0.116865001619E+00 -0.186365470290E+00  0.137123316526E+00
  0.117600001395E+00 -0.184506282210E+00  0.136539533734E+00
  0.118335001171E+00 -0.182652309537E+00  0.135952129960E+00
  0.119070000947E+00 -0.180803567171E+00  0.135361149907E+00
  0.119805000722E+00 -0.178960129619E+00  0.134766727686E+00
  0.120540000498E+00 -0.177122011781E+00  0.134168878198E+00
  0.121275000274E+00 -0.175289258361E+00  0.133567675948E+00
  0.122010000050E+00 -0.173461988568E+00  0.132963240147E+00
  0.122744999826E+00 -0.171640187502E+00  0.132355630398E+00
  0.123479999602E+00 -0.169823914766E+00  0.131744891405E+00
  0.124214999378E+00 -0.168013215065E+00  0.131131112576E+00
  0.124949999154E+00 -0.166208103299E+00  0.130514353514E+00
  0.125685006380E+00 -0.164408683777E+00  0.129894673824E+00
  0.126420006156E+00 -0.162615016103E+00  0.129272192717E+00
  0.127155005932E+00 -0.160827070475E+00  0.128646969795E+00
  0.127890005708E+00 -0.159044891596E+00  0.128019019961E+00
  0.128625005484E+00 -0.157268583775E+00  0.127388447523E+00
  0.129360005260E+00 -0.155498161912E+00  0.126755341887E+00
  0.130095005035E+00 -0.153733611107E+00  0.126119747758E+00
  0.130830004811E+00 -0.151975065470E+00  0.125481739640E+00
  0.131565004587E+00 -0.150222480297E+00  0.124841369689E+00
  0.132300004363E+00 -0.148475989699E+00  0.124198734760E+00
  0.133035004139E+00 -0.146735548973E+00  0.123553879559E+00
  0.133770003915E+00 -0.145001232624E+00  0.122906871140E+00
  0.134505003691E+00 -0.143273055553E+00  0.122257791460E+00
  0.135240003467E+00 -0.141551062465E+00  0.121606692672E+00
  0.135975003242E+00 -0.139835312963E+00  0.120953641832E+00
  0.136710003018E+00 -0.138125821948E+00  0.120298713446E+00
  0.137445002794E+00 -0.136422619224E+00  0.119641959667E+00
  0.138180002570E+00 -0.134725749493E+00  0.118983455002E+00
  0.138915002346E+00 -0.133035242558E+00  0.118323236704E+00
  0.139650002122E+00 -0.131351113319E+00  0.117661423981E+00
  0.140385001898E+00 -0.129673421383E+00  0.116998009384E+00
