  0.735000008717E-03  0.285971313715E-01 -0.187041275203E-01
  0.323400020599E+00  0.812782719731E-01 -0.116102956235E-01
  0.324135005474E+00  0.813977047801E-01 -0.118875373155E-01
  0.324870020151E+00  0.815122872591E-01 -0.121630737558E-01
  0.325605005026E+00  0.816220566630E-01 -0.124369105324E-01
  0.326340019703E+00  0.817269831896E-01 -0.127090429887E-01
  0.327075004578E+00  0.818271040916E-01 -0.129794767126E-01
  0.327810019255E+00  0.819224193692E-01 -0.132482107729E-01
  0.328545004129E+00  0.820129588246E-01 -0.135152423754E-01
  0.329280018806E+00  0.820987150073E-01 -0.137805780396E-01
  0.330015033484E+00  0.821797102690E-01 -0.140442121774E-01
  0.330750018358E+00  0.822559595108E-01 -0.143061513081E-01
  0.331485033035E+00  0.823274701834E-01 -0.145663889125E-01
  0.332220017910E+00  0.823942646384E-01 -0.148249296471E-01
  0.332955032587E+00  0.824563279748E-01 -0.150817744434E-01
  0.333690017462E+00  0.825136974454E-01 -0.153369167820E-01
  0.334425032139E+00  0.825663954020E-01 -0.155903613195E-01
  0.335160017014E+00  0.826143920422E-01 -0.158421006054E-01
  0.335895031691E+00  0.826577544212E-01 -0.160921420902E-01
  0.336630016565E+00  0.826964601874E-01 -0.163404829800E-01
  0.337365031242E+00  0.827305242419E-01 -0.165871214122E-01
  0.338100016117E+00  0.827599763870E-01 -0.168320499361E-01
  0.338835030794E+00  0.827848017216E-01 -0.170752741396E-01
  0.339570015669E+00  0.828050523996E-01 -0.173167977482E-01
  0.340305030346E+00  0.828207358718E-01 -0.175566077232E-01
  0.341040015221E+00  0.828318297863E-01 -0.177947059274E-01
  0.341775029898E+00  0.828383788466E-01 -0.180310960859E-01
  0.342510014772E+00  0.828404054046E-01 -0.182657688856E-01
  0.343245029449E+00  0.828378945589E-01 -0.184987261891E-01
  0.343980014324E+00  0.828308910131E-01 -0.187299661338E-01
  0.344715029001E+00  0.828193873167E-01 -0.189594831318E-01
  0.345450013876E+00  0.828034058213E-01 -0.191872790456E-01
  0.346185028553E+00  0.827829614282E-01 -0.194133501500E-01
  0.346920013428E+00  0.827580764890E-01 -0.196376908571E-01
  0.347655028105E+00  0.827287510037E-01 -0.198603011668E-01
  0.348390012980E+00  0.826949998736E-01 -0.200811773539E-01
  0.349125027657E+00  0.826568752527E-01 -0.203003194183E-01
  0.349860012531E+00  0.826143547893E-01 -0.205177180469E-01
  0.350595027208E+00  0.825674682856E-01 -0.207333769649E-01
  0.351330012083E+00  0.825162306428E-01 -0.209472905844E-01
  0.352065026760E+00  0.824606642127E-01 -0.211594570428E-01
  0.352800011635E+00  0.824007764459E-01 -0.213698633015E-01
  0.353535026312E+00  0.823365896940E-01 -0.215785205364E-01
  0.354270011187E+00  0.822681188583E-01 -0.217854157090E-01
  0.355005025864E+00  0.821953788400E-01 -0.219905488193E-01
  0.355740010738E+00  0.821183919907E-01 -0.221939142793E-01
  0.356475025415E+00  0.820371732116E-01 -0.223955102265E-01
  0.357210010290E+00  0.819517523050E-01 -0.225953329355E-01
  0.357945024967E+00  0.818621218204E-01 -0.227933749557E-01
  0.358680009842E+00  0.817683264613E-01 -0.229896344244E-01
  0.359415024519E+00  0.816703736782E-01 -0.231841113418E-01
  0.360150009394E+00  0.815682709217E-01 -0.233767963946E-01
  0.360885024071E+00  0.814620554447E-01 -0.235676858574E-01
  0.361620008945E+00  0.813517495990E-01 -0.237567815930E-01
  0.362355023623E+00  0.812373384833E-01 -0.239440705627E-01
  0.363090008497E+00  0.811188817024E-01 -0.241295527667E-01
  0.363825023174E+00  0.809963718057E-01 -0.243132300675E-01
  0.364560008049E+00  0.808698534966E-01 -0.244950875640E-01
  0.365295022726E+00  0.807393267751E-01 -0.246751252562E-01
  0.366030007601E+00  0.806048065424E-01 -0.248533431441E-01
  0.366765022278E+00  0.804663375020E-01 -0.250297300518E-01
  0.367500007153E+00  0.803239271045E-01 -0.252042859793E-01
